date,Rm,Rf,Rm_excess
2015-01-29,0.0324332792270651,0.002,0.030433279227065096
2015-02-26,0.07825973640823695,0.002,0.07625973640823695
2015-03-31,0.00952538455530949,0.002,0.007525384555309491
2015-04-30,-0.022190531376014067,0.002,-0.02419053137601407
2015-05-29,-0.009531371968156982,0.002,-0.011531371968156982
2015-06-30,-0.037906450553227125,0.002,-0.03990645055322713
2015-07-31,0.04548500803942125,0.002,0.04348500803942125
2015-08-31,-0.09283981640694222,0.002,-0.09483981640694222
2015-09-30,-0.0327514816853285,0.002,-0.0347514816853285
2015-10-29,0.03817115130384813,0.002,0.036171151303848126
2015-11-30,0.013451869820660572,0.002,0.011451869820660572
2015-12-30,0.011732057785498573,0.002,0.009732057785498573
2016-01-31,-0.07792752352969427,0.002,-0.07992752352969427
2016-02-29,-0.05078333967123608,0.002,-0.05278333967123608
2016-03-31,0.010619979256566034,0.002,0.008619979256566034
2016-04-29,0.05623562693198879,0.002,0.05423562693198879
2016-05-31,0.05359196182108718,0.002,0.051591961821087176
2016-06-30,-0.04842484654249425,0.002,-0.05042484654249425
2016-07-29,0.06391931474815699,0.002,0.061919314748156984
2016-08-31,0.00442582581791684,0.002,0.0024258258179168397
2016-09-30,0.021843342959751225,0.002,0.019843342959751223
2016-10-31,-0.0047626714470516,0.002,-0.0067626714470516
2016-11-30,0.06624449283976798,0.002,0.06424449283976798
2016-12-29,0.028499118545449717,0.002,0.026499118545449715
2017-01-31,0.019910519598223278,0.002,0.017910519598223276
2017-02-28,0.02536634284695527,0.002,0.023366342846955268
2017-03-30,0.03622688419222944,0.002,0.03422688419222944
2017-04-28,0.01954492925430934,0.002,0.017544929254309338
2017-05-31,-0.05682770690149612,0.002,-0.05882770690149612
2017-06-30,0.007125816526160386,0.002,0.005125816526160386
2017-07-31,0.017048507560683615,0.002,0.015048507560683615
2017-08-31,-0.002595573692954753,0.002,-0.004595573692954753
2017-09-29,0.014371776673285111,0.002,0.012371776673285111
2017-10-31,0.04371631229656056,0.002,0.04171631229656056
2017-11-30,9.132568935193291e-4,0.002,-0.001086743106480671
2017-12-28,0.010476900021260532,0.002,0.008476900021260532
2018-01-31,0.013122018342989233,0.002,0.011122018342989233
2018-02-28,0.008612720590905634,0.002,0.006612720590905634
2018-03-28,-0.04199312920943511,0.002,-0.043993129209435114
2018-04-30,0.039785518019961164,0.002,0.03778551801996116
2018-05-31,0.02817557760776923,0.002,0.02617557760776923
2018-06-29,0.048584932439406175,0.002,0.046584932439406174
2018-07-31,0.016354626773758735,0.002,0.014354626773758735
2018-08-31,0.007794979388987433,0.002,0.005794979388987433
2018-09-28,-0.015862824952026205,0.002,-0.017862824952026207
2018-10-31,-0.050158913069226,0.002,-0.052158913069226
2018-11-29,-0.0019072441777897298,0.002,-0.00390724417778973
2018-12-30,-5.025811121940754e-4,0.002,-0.0025025811121940755
2019-01-31,0.0183985519226591,0.002,0.0163985519226591
2019-02-28,0.06898621637778649,0.002,0.06698621637778648
2019-03-31,0.006843596968104465,0.002,0.004843596968104465
2019-04-30,0.01865672383074929,0.002,0.016656723830749287
2019-05-31,0.021526217914879145,0.002,0.019526217914879143
2019-06-28,0.04328410192481913,0.002,0.04128410192481913
2019-07-31,0.02726303422165964,0.002,0.02526303422165964
2019-08-30,-0.01834308342435932,0.002,-0.020343083424359323
2019-09-30,0.03917765531703833,0.002,0.03717765531703833
2019-10-31,-0.012769374512272169,0.002,-0.01476937451227217
2019-11-28,0.015510765281430028,0.002,0.013510765281430028
2019-12-30,-0.02268850312524799,0.002,-0.024688503125247993
2020-01-30,0.06880497107913525,0.002,0.06680497107913524
