symbol,date,ret
CBA.AX,2015-01-29,0.04187071848152435
CBA.AX,2015-02-26,0.051262643584589096
CBA.AX,2015-03-31,0.015230767674335732
CBA.AX,2015-04-30,-0.04768560544222422
CBA.AX,2015-05-29,-0.042533948917714226
CBA.AX,2015-06-30,4.7001494615250827e-4
CBA.AX,2015-07-31,0.02854468583140335
CBA.AX,2015-08-31,-0.11367383859870517
CBA.AX,2015-09-30,-0.03143311060794496
CBA.AX,2015-10-29,0.055142934456307025
CBA.AX,2015-11-30,0.05551940121486987
CBA.AX,2015-12-30,0.05605626971303401
CBA.AX,2016-01-31,-0.08546715064740584
CBA.AX,2016-02-29,-0.062067133660433815
CBA.AX,2016-03-31,0.02212545132630317
CBA.AX,2016-04-29,0.012330533469614657
CBA.AX,2016-05-31,0.04790928683373119
CBA.AX,2016-06-30,-0.03951986255069684
CBA.AX,2016-07-29,0.04007009833238295
CBA.AX,2016-08-31,-0.04368822789272775
CBA.AX,2016-09-30,0.008216164147536231
CBA.AX,2016-10-31,0.004972222349184374
CBA.AX,2016-11-30,0.09304572786167475
CBA.AX,2016-12-29,0.03621256802756112
CBA.AX,2017-01-31,-0.004732290568761011
CBA.AX,2017-02-28,0.03356484718013175
CBA.AX,2017-03-30,0.037435147515845646
CBA.AX,2017-04-28,0.01734334291734574
CBA.AX,2017-05-31,-0.08867260982406466
CBA.AX,2017-06-30,0.03967373259829632
CBA.AX,2017-07-31,0.01110958858380906
CBA.AX,2017-08-31,-0.06833576886626114
CBA.AX,2017-09-29,-0.007256031212915515
CBA.AX,2017-10-31,0.03215942991573573
CBA.AX,2017-11-30,0.019312413109654702
CBA.AX,2017-12-28,0.014778319057782818
CBA.AX,2018-01-31,-0.00410742202140113
CBA.AX,2018-02-28,-0.023779893573659172
CBA.AX,2018-03-28,-0.04930320906418251
CBA.AX,2018-04-30,-0.0067763089474699445
CBA.AX,2018-05-31,-0.03508775021519839
CBA.AX,2018-06-29,0.051515211240446224
CBA.AX,2018-07-31,0.02634829681110773
CBA.AX,2018-08-31,-0.017549907587160463
CBA.AX,2018-09-28,0.002386472117262395
CBA.AX,2018-10-31,-0.034589159531073554
CBA.AX,2018-11-29,0.033217424388789496
CBA.AX,2018-12-30,0.0162851419820238
CBA.AX,2019-01-31,-0.03633081594085508
CBA.AX,2019-02-28,0.09568031693541545
CBA.AX,2019-03-31,-0.04021514883879573
CBA.AX,2019-04-30,0.04428253781577851
CBA.AX,2019-05-31,0.053542566628457466
CBA.AX,2019-06-28,0.0543879522990629
CBA.AX,2019-07-31,-0.005798344874988426
CBA.AX,2019-08-30,-0.010730348513181887
